,+/1,3P,3PA,AST,BLK,Date,FG,FGA,FT,FTA,Game_Id,ORB,Opponent,PF,PTS,STL,TOV,TRB,Team,minutes,name,opp_score,result,started,team_score
0,+2,2,4,1,0,4/1/2017,8,16,2,4,4/1/2017_Brooklyn_Orlando,0,Brooklyn,3,20,2,2,1,Orlando,36:50,Evan Fournier,121,loser,True,111
1,+9,4,7,5,0,4/1/2017,9,18,0,0,4/1/2017_Brooklyn_Orlando,4,Brooklyn,3,22,2,1,15,Orlando,35:26,Aaron Gordon,121,loser,True,111
2,+8,1,2,11,0,4/1/2017,6,12,7,8,4/1/2017_Brooklyn_Orlando,2,Brooklyn,0,20,1,2,11,Orlando,35:18,Elfrid Payton,121,loser,True,111
3,-2,0,3,2,0,4/1/2017,3,10,0,1,4/1/2017_Brooklyn_Orlando,0,Brooklyn,2,6,1,0,2,Orlando,33:09,Terrence Ross,121,loser,True,111
4,+10,1,2,1,1,4/1/2017,13,20,0,0,4/1/2017_Brooklyn_Orlando,4,Brooklyn,4,27,1,3,11,Orlando,32:24,Nikola Vucevic,121,loser,True,111
5,-17,1,4,0,1,4/1/2017,4,7,2,2,4/1/2017_Brooklyn_Orlando,0,Brooklyn,1,11,0,1,0,Orlando,18:29,Jodie Meeks,121,loser,False,111
6,-23,0,1,3,0,4/1/2017,0,2,0,0,4/1/2017_Brooklyn_Orlando,1,Brooklyn,1,0,1,1,1,Orlando,17:04,Mario Hezonja,121,loser,False,111
7,-17,1,2,2,0,4/1/2017,2,5,0,0,4/1/2017_Brooklyn_Orlando,0,Brooklyn,0,5,1,4,1,Orlando,15:44,D.J. Augustin,121,loser,False,111
8,-20,0,0,1,0,4/1/2017,0,1,0,0,4/1/2017_Brooklyn_Orlando,0,Brooklyn,1,0,0,0,0,Orlando,15:36,Bismack Biyombo,121,loser,False,111
9,,,,,,4/1/2017,,,,,4/1/2017_Brooklyn_Orlando,,Brooklyn,,,,,,Orlando,DNP,Stephen Zimmerman,121,loser,False,111
10,,,,,,4/1/2017,,,,,4/1/2017_Brooklyn_Orlando,,Brooklyn,,,,,,Orlando,DNP,Damjan Rudez,121,loser,False,111
11,,,,,,4/1/2017,,,,,4/1/2017_Brooklyn_Orlando,,Brooklyn,,,,,,Orlando,DNP,C.J. Wilcox,121,loser,False,111
12,,,,,,4/1/2017,,,,,4/1/2017_Brooklyn_Orlando,,Brooklyn,,,,,,Orlando,DNP,C.J. Watson,121,loser,False,111
13,-10,2,6,8,1,4/1/2017,3,14,0,0,4/1/2017_Orlando_Brooklyn,0,Orlando,4,8,2,2,4,Brooklyn,28:11,Jeremy Lin,111,winner,True,121
14,-10,2,6,1,2,4/1/2017,12,22,4,5,4/1/2017_Orlando_Brooklyn,2,Orlando,1,30,0,1,7,Brooklyn,28:02,Brook Lopez,111,winner,True,121
15,-8,0,0,3,0,4/1/2017,1,2,0,2,4/1/2017_Orlando_Brooklyn,0,Orlando,1,2,0,2,6,Brooklyn,24:36,Rondae Hollis-Jefferson,111,winner,True,121
16,-6,1,4,0,0,4/1/2017,4,8,0,0,4/1/2017_Orlando_Brooklyn,0,Orlando,1,9,0,0,3,Brooklyn,20:21,Caris LeVert,111,winner,True,121
17,-10,0,2,1,0,4/1/2017,0,2,0,0,4/1/2017_Orlando_Brooklyn,0,Orlando,1,0,1,0,2,Brooklyn,10:57,Randy Foye,111,winner,True,121
18,+16,0,1,5,0,4/1/2017,3,4,0,0,4/1/2017_Orlando_Brooklyn,1,Orlando,1,6,1,0,1,Brooklyn,26:20,Isaiah Whitehead,111,winner,False,121
19,+18,1,2,1,0,4/1/2017,11,12,0,0,4/1/2017_Orlando_Brooklyn,2,Orlando,1,23,1,1,8,Brooklyn,23:55,Trevor Booker,111,winner,False,121
20,+5,1,4,4,0,4/1/2017,6,12,2,2,4/1/2017_Orlando_Brooklyn,2,Orlando,1,15,0,3,5,Brooklyn,22:23,Sean Kilpatrick,111,winner,False,121
21,+20,0,2,1,1,4/1/2017,3,5,1,1,4/1/2017_Orlando_Brooklyn,1,Orlando,2,7,2,0,3,Brooklyn,19:49,Spencer Dinwiddie,111,winner,False,121
22,+20,1,3,0,0,4/1/2017,5,9,2,2,4/1/2017_Orlando_Brooklyn,1,Orlando,1,13,0,2,5,Brooklyn,19:27,Justin Hamilton,111,winner,False,121
23,+15,0,1,2,1,4/1/2017,2,4,4,4,4/1/2017_Orlando_Brooklyn,0,Orlando,1,8,1,0,0,Brooklyn,15:59,Archie Goodwin,111,winner,False,121
24,,,,,,4/1/2017,,,,,4/1/2017_Orlando_Brooklyn,,Orlando,,,,,,Brooklyn,DNP,K.J. McDaniels,111,winner,False,121
25,,,,,,4/1/2017,,,,,4/1/2017_Orlando_Brooklyn,,Orlando,,,,,,Brooklyn,DNP,Andrew Nicholson,111,winner,False,121
26,-8,0,0,3,1,4/1/2017,6,12,1,2,4/1/2017_Chicago_Atlanta,5,Chicago,1,13,0,2,12,Atlanta,37:16,Dwight Howard,106,loser,True,104
27,-2,1,3,6,0,4/1/2017,12,19,4,4,4/1/2017_Chicago_Atlanta,2,Chicago,3,29,1,3,7,Atlanta,36:56,Dennis Schroder,106,loser,True,104
