,+/1,3P,3PA,AST,BLK,Date,FG,FGA,FT,FTA,Game_Id,ORB,Opponent,PF,PTS,STL,TOV,TRB,Team,minutes,name,opp_score,result,started,team_score
0,-2,4,11,5,0,2/1/2017,12,20,4,6,2/1/2017_Boston_Toronto,0,Boston,2,32,2,3,2,Toronto,37:54,Kyle Lowry,109,loser,True,104
1,-2,2,6,1,0,2/1/2017,2,8,0,0,2/1/2017_Boston_Toronto,1,Boston,3,6,1,1,6,Toronto,37:42,DeMarre Carroll,109,loser,True,104
2,0,0,2,2,0,2/1/2017,6,9,0,0,2/1/2017_Boston_Toronto,0,Boston,5,12,0,4,5,Toronto,32:22,Norman Powell,109,loser,True,104
3,+3,1,4,0,0,2/1/2017,3,6,3,5,2/1/2017_Boston_Toronto,1,Boston,0,10,1,0,3,Toronto,20:42,Patrick Patterson,109,loser,True,104
4,-10,0,0,1,1,2/1/2017,1,1,1,2,2/1/2017_Boston_Toronto,0,Boston,4,3,0,2,3,Toronto,11:47,Jonas Valanciunas,109,loser,True,104
5,+7,0,1,0,4,2/1/2017,3,4,4,4,2/1/2017_Boston_Toronto,1,Boston,4,10,1,1,5,Toronto,28:29,Lucas Nogueira,109,loser,False,104
6,-9,0,0,4,0,2/1/2017,4,10,0,1,2/1/2017_Boston_Toronto,0,Boston,5,8,0,1,1,Toronto,23:14,Cory Joseph,109,loser,False,104
7,0,0,4,3,0,2/1/2017,3,10,0,2,2/1/2017_Boston_Toronto,0,Boston,2,6,1,3,6,Toronto,22:45,Terrence Ross,109,loser,False,104
8,-8,1,3,1,0,2/1/2017,5,8,2,5,2/1/2017_Boston_Toronto,2,Boston,3,13,0,0,6,Toronto,15:37,Jared Sullinger,109,loser,False,104
9,-4,0,0,0,0,2/1/2017,2,2,0,0,2/1/2017_Boston_Toronto,3,Boston,1,4,0,0,4,Toronto,9:27,Jakob Poeltl,109,loser,False,104
10,,,,,,2/1/2017,,,,,2/1/2017_Boston_Toronto,,Boston,,,,,,Toronto,DNP,Pascal Siakam,109,loser,False,104
11,,,,,,2/1/2017,,,,,2/1/2017_Boston_Toronto,,Boston,,,,,,Toronto,DNP,Delon Wright,109,loser,False,104
12,,,,,,2/1/2017,,,,,2/1/2017_Boston_Toronto,,Boston,,,,,,Toronto,DNP,Fred VanVleet,109,loser,False,104
13,+16,5,12,7,0,2/1/2017,12,22,15,16,2/1/2017_Toronto_Boston,0,Toronto,3,44,0,3,4,Boston,37:56,Isaiah Thomas,104,winner,True,109
14,-4,1,4,1,0,2/1/2017,5,13,3,4,2/1/2017_Toronto_Boston,3,Toronto,1,14,1,1,8,Boston,33:55,Jae Crowder,104,winner,True,109
15,-3,1,5,6,0,2/1/2017,4,13,2,2,2/1/2017_Toronto_Boston,1,Toronto,3,11,1,1,3,Boston,31:49,Al Horford,104,winner,True,109
16,-9,0,1,0,0,2/1/2017,2,6,4,6,2/1/2017_Toronto_Boston,1,Toronto,2,8,1,0,1,Boston,22:42,Jaylen Brown,104,winner,True,109
17,-7,1,1,0,0,2/1/2017,2,2,0,0,2/1/2017_Toronto_Boston,1,Toronto,4,5,0,1,2,Boston,14:32,Amir Johnson,104,winner,True,109
18,+8,1,5,5,0,2/1/2017,4,11,1,2,2/1/2017_Toronto_Boston,2,Toronto,3,10,2,2,5,Boston,34:48,Marcus Smart,104,winner,False,109
19,+5,1,2,1,0,2/1/2017,2,7,0,0,2/1/2017_Toronto_Boston,2,Toronto,0,5,0,0,7,Boston,22:34,Terry Rozier,104,winner,False,109
20,+8,2,5,2,1,2/1/2017,2,7,0,0,2/1/2017_Toronto_Boston,0,Toronto,1,6,0,0,3,Boston,19:29,Jonas Jerebko,104,winner,False,109
21,+8,0,0,1,1,2/1/2017,2,3,0,0,2/1/2017_Toronto_Boston,2,Toronto,3,4,0,0,5,Boston,16:11,Tyler Zeller,104,winner,False,109
22,+3,0,1,1,0,2/1/2017,1,3,0,0,2/1/2017_Toronto_Boston,0,Toronto,1,2,1,1,1,Boston,6:05,Gerald Green,104,winner,False,109
23,,,,,,2/1/2017,,,,,2/1/2017_Toronto_Boston,,Toronto,,,,,,Boston,DNP,Jordan Mickey,104,winner,False,109
24,,,,,,2/1/2017,,,,,2/1/2017_Toronto_Boston,,Toronto,,,,,,Boston,DNP,James Young,104,winner,False,109
25,,,,,,2/1/2017,,,,,2/1/2017_Toronto_Boston,,Toronto,,,,,,Boston,DNP,Kelly Olynyk,104,winner,False,109
26,+7,0,4,10,0,2/1/2017,1,11,4,6,2/1/2017_Brooklyn_New York,0,Brooklyn,2,6,5,2,3,New York,42:40,Brandon Jennings,90,winner,True,95
27,-15,0,2,2,0,2/1/2017,3,7,1,2,2/1/2017_Brooklyn_New York,2,Brooklyn,2,7,2,0,4,New York,27:54,Courtney Lee,90,winner,True,95
28,-15,1,6,0,0,2/1/2017,6,22,2,3,2/1/2017_Brooklyn_New York,2,Brooklyn,1,15,1,3,3,New York,26:39,Carmelo Anthony,90,winner,True,95
29,+15,1,4,1,2,2/1/2017,7,15,4,7,2/1/2017_Brooklyn_New York,4,Brooklyn,5,19,0,2,12,New York,25:30,Kristaps Porzingis,90,winner,True,95
