,+/1,3P,3PA,AST,BLK,Date,FG,FGA,FT,FTA,Game_Id,ORB,Opponent,PF,PTS,STL,TOV,TRB,Team,minutes,name,opp_score,result,started,team_score
0,+18,1,1,2,3,1/1/2017,12,17,2,2,1/1/2017_Atlanta_San Antonio,3,Atlanta,0,27,0,2,13,San Antonio,43:27,LaMarcus Aldridge,114,loser,True,112
1,+7,1,1,2,1,1/1/2017,6,10,5,6,1/1/2017_Atlanta_San Antonio,1,Atlanta,3,18,1,3,9,San Antonio,37:50,Pau Gasol,114,loser,True,112
2,+4,1,2,7,0,1/1/2017,10,18,1,2,1/1/2017_Atlanta_San Antonio,1,Atlanta,1,22,0,1,3,San Antonio,31:35,Tony Parker,114,loser,True,112
3,0,3,8,2,0,1/1/2017,3,8,0,0,1/1/2017_Atlanta_San Antonio,0,Atlanta,4,9,0,0,6,San Antonio,31:21,Danny Green,114,loser,True,112
4,-7,1,6,2,1,1/1/2017,3,12,6,7,1/1/2017_Atlanta_San Antonio,2,Atlanta,3,13,1,1,4,San Antonio,28:09,Kawhi Leonard,114,loser,True,112
5,-3,1,4,3,0,1/1/2017,2,8,0,0,1/1/2017_Atlanta_San Antonio,0,Atlanta,1,5,0,0,0,San Antonio,21:14,Patty Mills,114,loser,False,112
6,+5,1,3,3,0,1/1/2017,2,5,5,5,1/1/2017_Atlanta_San Antonio,0,Atlanta,2,10,3,1,3,San Antonio,20:45,Manu Ginobili,114,loser,False,112
7,+3,0,2,3,1,1/1/2017,0,2,0,0,1/1/2017_Atlanta_San Antonio,1,Atlanta,1,0,0,0,3,San Antonio,18:46,Jonathon Simmons,114,loser,False,112
8,-15,0,0,2,0,1/1/2017,4,9,0,0,1/1/2017_Atlanta_San Antonio,1,Atlanta,3,8,0,2,3,San Antonio,18:22,David Lee,114,loser,False,112
9,-10,0,0,1,0,1/1/2017,0,0,0,0,1/1/2017_Atlanta_San Antonio,0,Atlanta,1,0,0,1,1,San Antonio,7:48,Kyle Anderson,114,loser,False,112
10,-12,0,0,0,0,1/1/2017,0,1,0,0,1/1/2017_Atlanta_San Antonio,0,Atlanta,2,0,0,1,2,San Antonio,5:43,Dewayne Dedmon,114,loser,False,112
11,,,,,,1/1/2017,,,,,1/1/2017_Atlanta_San Antonio,,Atlanta,,,,,,San Antonio,DNP,Davis Bertans,114,loser,False,112
12,,,,,,1/1/2017,,,,,1/1/2017_Atlanta_San Antonio,,Atlanta,,,,,,San Antonio,DNP,Dejounte Murray,114,loser,False,112
13,-5,3,6,3,1,1/1/2017,11,23,7,10,1/1/2017_San Antonio_Atlanta,3,San Antonio,5,32,0,2,13,Atlanta,46:45,Paul Millsap,112,winner,True,114
14,-7,0,0,1,1,1/1/2017,2,4,2,4,1/1/2017_San Antonio_Atlanta,4,San Antonio,4,6,0,2,8,Atlanta,34:17,Dwight Howard,112,winner,True,114
15,-7,0,2,10,1,1/1/2017,7,17,2,3,1/1/2017_San Antonio_Atlanta,1,San Antonio,1,16,0,3,1,Atlanta,33:25,Dennis Schroder,112,winner,True,114
16,-16,1,2,0,0,1/1/2017,3,10,1,4,1/1/2017_San Antonio_Atlanta,1,San Antonio,3,8,2,0,2,Atlanta,19:06,Kent Bazemore,112,winner,True,114
17,-9,0,1,1,1,1/1/2017,0,3,3,4,1/1/2017_San Antonio_Atlanta,1,San Antonio,3,3,1,0,2,Atlanta,16:19,Thabo Sefolosha,112,winner,True,114
18,+13,4,9,4,1,1/1/2017,5,12,0,0,1/1/2017_San Antonio_Atlanta,0,San Antonio,0,14,1,0,8,Atlanta,39:25,Kyle Korver,112,winner,False,114
19,+14,6,7,1,0,1/1/2017,11,13,1,2,1/1/2017_San Antonio_Atlanta,1,San Antonio,2,29,0,1,5,Atlanta,31:18,Tim Hardaway,112,winner,False,114
20,+9,0,0,4,0,1/1/2017,2,5,0,0,1/1/2017_San Antonio_Atlanta,0,San Antonio,1,4,0,3,4,Atlanta,19:35,Malcolm Delaney,112,winner,False,114
21,+11,0,1,1,1,1/1/2017,1,4,0,0,1/1/2017_San Antonio_Atlanta,0,San Antonio,2,2,1,0,1,Atlanta,18:35,Mike Muscala,112,winner,False,114
22,+7,0,0,0,0,1/1/2017,0,1,0,0,1/1/2017_San Antonio_Atlanta,0,San Antonio,0,0,1,0,2,Atlanta,6:15,Kris Humphries,112,winner,False,114
23,,,,,,1/1/2017,,,,,1/1/2017_San Antonio_Atlanta,,San Antonio,,,,,,Atlanta,DNP,Ryan Kelly,112,winner,False,114
