3P,3PA,AST,BLK,Date,FG,FGA,FT,FTA,Game_Id,ORB,Opponent,PF,PTS,STL,TOV,TRB,Team,name,opp_score,started,team_score,+/-,is_Home,Team_Win,time_played_(s)
2,9,6,0,2012-10-30,2,13,1,1,10/30/2012_Cleveland_Washington,1,Cleveland,1,7,0,1,2,Washington,A.J. Price,94,1,84,-11,0,0,1764
0,0,0,4,2012-10-30,4,10,2,4,10/30/2012_Cleveland_Washington,5,Cleveland,1,10,0,1,7,Washington,Emeka Okafor,94,1,84,-5,0,0,1475
2,4,4,2,2012-10-30,3,8,1,2,10/30/2012_Cleveland_Washington,1,Cleveland,0,9,3,0,3,Washington,Trevor Ariza,94,1,84,-9,0,0,1475
2,4,3,0,2012-10-30,2,8,2,2,10/30/2012_Cleveland_Washington,0,Cleveland,1,8,1,2,3,Washington,Bradley Beal,94,1,84,-16,0,0,1293
0,1,1,1,2012-10-30,2,9,0,0,10/30/2012_Cleveland_Washington,1,Cleveland,4,4,1,4,1,Washington,Trevor Booker,94,1,84,-15,0,0,1005
0,6,5,1,2012-10-30,4,13,3,4,10/30/2012_Cleveland_Washington,1,Cleveland,1,11,1,1,3,Washington,Jordan Crawford,94,0,84,0,0,0,1722
1,3,1,0,2012-10-30,4,6,0,0,10/30/2012_Cleveland_Washington,0,Cleveland,1,9,2,0,3,Washington,Martell Webster,94,0,84,-1,0,0,1405
0,0,1,1,2012-10-30,3,4,1,4,10/30/2012_Cleveland_Washington,3,Cleveland,3,7,0,1,4,Washington,Jan Vesely,94,0,84,-2,0,0,1274
0,1,2,0,2012-10-30,2,7,0,0,10/30/2012_Cleveland_Washington,2,Cleveland,2,4,2,1,4,Washington,Chris Singleton,94,0,84,1,0,0,1031
1,4,3,0,2012-10-30,2,6,2,2,10/30/2012_Cleveland_Washington,0,Cleveland,3,7,0,1,1,Washington,Jannero Pargo,94,0,84,7,0,0,981
0,0,0,1,2012-10-30,4,6,0,1,10/30/2012_Cleveland_Washington,4,Cleveland,2,8,1,0,8,Washington,Earl Barron,94,0,84,1,0,0,975
0,0,9,2,2012-10-30,3,7,3,3,10/30/2012_Cleveland_Washington,12,Washington,4,9,0,1,23,Cleveland,Anderson Varejao,84,1,94,7,1,1,2242
3,6,3,1,2012-10-30,11,20,4,5,10/30/2012_Cleveland_Washington,0,Washington,4,29,0,4,6,Cleveland,Kyrie Irving,84,1,94,23,1,1,2074
0,2,2,0,2012-10-30,2,9,0,0,10/30/2012_Cleveland_Washington,2,Washington,5,4,2,3,3,Cleveland,Alonzo Gee,84,1,94,14,1,1,2033
0,0,5,0,2012-10-30,5,8,2,4,10/30/2012_Cleveland_Washington,3,Washington,2,12,1,2,10,Cleveland,Tristan Thompson,84,1,94,20,1,1,1891
2,5,0,0,2012-10-30,6,14,3,4,10/30/2012_Cleveland_Washington,0,Washington,0,17,3,3,2,Cleveland,Dion Waiters,84,1,94,13,1,1,1694
0,1,1,0,2012-10-30,1,5,0,0,10/30/2012_Cleveland_Washington,0,Washington,0,2,0,3,4,Cleveland,C.J. Miles,84,0,94,2,1,1,1062
