,+/1,3P,3PA,AST,BLK,Date,FG,FGA,FT,FTA,Game_Id,ORB,Opponent,PF,PTS,STL,TOV,TRB,Team,minutes,name,opp_score,result,started,team_score
0,-21,3,5,0,2,10/25/2016,5,13,3,6,10/25/2016_Cleveland_New York,4,Cleveland,5,16,1,2,7,New York,32:48,Kristaps Porzingis,117,loser,True,88
1,-19,1,4,3,0,10/25/2016,8,18,2,2,10/25/2016_Cleveland_New York,1,Cleveland,5,19,1,4,5,New York,30:05,Carmelo Anthony,117,loser,True,88
2,-19,1,2,1,1,10/25/2016,7,17,2,2,10/25/2016_Cleveland_New York,2,Cleveland,1,17,0,4,3,New York,29:35,Derrick Rose,117,loser,True,88
3,-19,0,2,0,1,10/25/2016,0,5,0,0,10/25/2016_Cleveland_New York,1,Cleveland,1,0,0,2,3,New York,19:37,Courtney Lee,117,loser,True,88
4,-1,0,0,3,0,10/25/2016,0,1,0,0,10/25/2016_Cleveland_New York,1,Cleveland,1,0,1,1,6,New York,19:31,Joakim Noah,117,loser,True,88
5,-14,2,3,2,0,10/25/2016,2,7,2,2,10/25/2016_Cleveland_New York,1,Cleveland,0,8,1,0,6,New York,26:27,Justin Holiday,117,loser,False,88
6,-14,0,4,5,0,10/25/2016,1,7,5,6,10/25/2016_Cleveland_New York,1,Cleveland,2,7,0,1,3,New York,21:14,Brandon Jennings,117,loser,False,88
7,-11,0,0,1,0,10/25/2016,1,4,0,0,10/25/2016_Cleveland_New York,0,Cleveland,2,2,2,1,1,New York,16:37,Lance Thomas,117,loser,False,88
8,-10,0,2,1,2,10/25/2016,1,3,0,0,10/25/2016_Cleveland_New York,1,Cleveland,3,2,0,1,5,New York,15:24,Kyle O'Quinn,117,loser,False,88
9,-3,0,0,0,0,10/25/2016,2,3,0,0,10/25/2016_Cleveland_New York,1,Cleveland,1,4,0,1,1,New York,9:26,Willy Hernangomez,117,loser,False,88
10,-4,1,3,0,0,10/25/2016,3,5,0,0,10/25/2016_Cleveland_New York,0,Cleveland,0,7,0,0,1,New York,9:14,Mindaugas Kuzminskas,117,loser,False,88
11,-5,1,1,0,0,10/25/2016,2,3,0,0,10/25/2016_Cleveland_New York,0,Cleveland,0,5,0,0,1,New York,6:44,Ron Baker,117,loser,False,88
12,-5,0,1,1,0,10/25/2016,0,1,1,2,10/25/2016_Cleveland_New York,0,Cleveland,1,1,0,1,0,New York,3:18,Sasha Vujacic,117,loser,False,88
13,+27,0,3,14,1,10/25/2016,9,14,1,2,10/25/2016_New York_Cleveland,3,New York,3,19,0,4,11,Cleveland,32:23,LeBron James,88,winner,True,117
14,+13,4,7,4,0,10/25/2016,12,22,1,1,10/25/2016_New York_Cleveland,1,New York,1,29,2,0,2,Cleveland,29:48,Kyrie Irving,88,winner,True,117
15,+13,2,8,2,0,10/25/2016,3,13,0,0,10/25/2016_New York_Cleveland,0,New York,1,8,1,0,3,Cleveland,25:14,J.R. Smith,88,winner,True,117
16,+24,2,6,2,0,10/25/2016,6,15,9,12,10/25/2016_New York_Cleveland,2,New York,3,23,3,2,12,Cleveland,24:58,Kevin Love,88,winner,True,117
17,+17,0,0,0,0,10/25/2016,0,1,0,0,10/25/2016_New York_Cleveland,2,New York,4,0,0,2,6,Cleveland,22:25,Tristan Thompson,88,winner,True,117
18,+17,2,3,1,0,10/25/2016,5,7,1,2,10/25/2016_New York_Cleveland,0,New York,1,13,2,2,4,Cleveland,25:47,Richard Jefferson,88,winner,False,117
19,+18,0,1,2,0,10/25/2016,2,3,0,0,10/25/2016_New York_Cleveland,0,New York,0,4,3,0,4,Cleveland,22:32,Mike Dunleavy,88,winner,False,117
20,+7,2,5,0,1,10/25/2016,2,6,0,0,10/25/2016_New York_Cleveland,2,New York,4,6,1,1,4,Cleveland,14:09,Channing Frye,88,winner,False,117
21,-5,0,1,3,1,10/25/2016,1,3,0,0,10/25/2016_New York_Cleveland,1,New York,2,2,0,2,2,Cleveland,13:51,Iman Shumpert,88,winner,False,117
22,+11,0,0,3,1,10/25/2016,2,3,0,0,10/25/2016_New York_Cleveland,0,New York,1,4,0,1,3,Cleveland,12:00,DeAndre Liggins,88,winner,False,117
23,+1,0,0,0,0,10/25/2016,1,4,0,0,10/25/2016_New York_Cleveland,0,New York,1,2,0,0,0,Cleveland,5:50,Jordan McRae,88,winner,False,117
24,+1,0,0,0,1,10/25/2016,1,1,0,0,10/25/2016_New York_Cleveland,0,New York,0,2,0,0,0,Cleveland,5:34,Chris Andersen,88,winner,False,117
25,+1,1,1,0,0,10/25/2016,1,2,2,2,10/25/2016_New York_Cleveland,0,New York,1,5,0,0,0,Cleveland,5:30,James Jones,88,winner,False,117
26,+10,1,1,3,0,10/25/2016,10,20,5,6,10/25/2016_Golden State_San Antonio,8,Golden State,1,26,1,2,14,San Antonio,35:11,LaMarcus Aldridge,100,winner,True,129
27,+14,0,3,3,0,10/25/2016,10,21,15,15,10/25/2016_Golden State_San Antonio,3,Golden State,1,35,5,2,5,San Antonio,32:03,Kawhi Leonard,100,winner,True,129
28,-12,1,2,4,0,10/25/2016,4,9,0,0,10/25/2016_Golden State_San Antonio,0,Golden State,4,9,0,2,3,San Antonio,26:28,Tony Parker,100,winner,True,129
29,-4,1,1,0,0,10/25/2016,1,1,0,0,10/25/2016_Golden State_San Antonio,2,Golden State,1,3,1,0,4,San Antonio,22:24,Kyle Anderson,100,winner,True,129
30,-12,0,0,1,0,10/25/2016,1,4,0,0,10/25/2016_Golden State_San Antonio,0,Golden State,3,2,0,1,4,San Antonio,18:16,Pau Gasol,100,winner,True,129
31,+33,3,5,3,1,10/25/2016,8,14,1,3,10/25/2016_Golden State_San Antonio,1,Golden State,2,20,0,2,4,San Antonio,28:10,Jonathon Simmons,100,winner,False,129
32,+22,2,6,2,0,10/25/2016,4,10,0,0,10/25/2016_Golden State_San Antonio,0,Golden State,1,10,1,0,5,San Antonio,20:52,Manu Ginobili,100,winner,False,129
33,+34,3,5,5,0,10/25/2016,4,9,0,0,10/25/2016_Golden State_San Antonio,0,Golden State,1,11,4,0,1,San Antonio,17:51,Patty Mills,100,winner,False,129
34,+29,0,0,0,2,10/25/2016,1,4,0,0,10/25/2016_Golden State_San Antonio,4,Golden State,3,2,1,1,8,San Antonio,16:34,Dewayne Dedmon,100,winner,False,129
35,+13,0,0,2,0,10/25/2016,2,4,2,2,10/25/2016_Golden State_San Antonio,3,Golden State,1,6,0,2,6,San Antonio,11:08,David Lee,100,winner,False,129
36,+6,1,1,0,0,10/25/2016,2,2,0,0,10/25/2016_Golden State_San Antonio,0,Golden State,0,5,0,0,1,San Antonio,3:41,Davis Bertans,100,winner,False,129
37,+6,0,0,0,0,10/25/2016,0,0,0,0,10/25/2016_Golden State_San Antonio,0,Golden State,0,0,0,0,0,San Antonio,3:41,Bryn Forbes,100,winner,False,129
38,+6,0,0,2,0,10/25/2016,0,0,0,0,10/25/2016_Golden State_San Antonio,0,Golden State,1,0,0,1,0,San Antonio,3:41,Nicolas Laprovittola,100,winner,False,129
39,-13,1,3,4,2,10/25/2016,11,18,4,5,10/25/2016_San Antonio_Golden State,0,San Antonio,2,27,2,0,10,Golden State,36:36,Kevin Durant,129,loser,True,100
40,-9,3,10,4,0,10/25/2016,9,18,5,6,10/25/2016_San Antonio_Golden State,0,San Antonio,1,26,0,4,3,Golden State,34:06,Stephen Curry,129,loser,True,100
41,-6,1,6,2,0,10/25/2016,5,13,0,0,10/25/2016_San Antonio_Golden State,0,San Antonio,4,11,0,1,1,Golden State,33:21,Klay Thompson,129,loser,True,100
42,-5,2,5,6,1,10/25/2016,7,14,2,2,10/25/2016_San Antonio_Golden State,5,San Antonio,2,18,5,2,12,Golden State,32:37,Draymond Green,129,loser,True,100
43,-3,0,0,1,0,10/25/2016,1,1,0,0,10/25/2016_San Antonio_Golden State,1,San Antonio,2,2,0,3,3,Golden State,20:05,Zaza Pachulia,129,loser,True,100
