3P_x,3PA_x,AST_x,BLK_x,FG_x,FGA_x,FT_x,FTA_x,ORB_x,DRB_x,PF_x,PTS_x,STL_x,TOV_x,TRB_x,Team_Win_x,opp_TRB_x,opp_3P_x,opp_3PA_x,opp_AST_x,opp_BLK_x,opp_FG_x,opp_FGA_x,opp_FT_x,opp_FTA_x,opp_PTS_x,opp_ORB_x,opp_DRB_x,opp_STL_x,opp_PF_x,opp_TOV_x,total_PTS_x,is_Home_x,Team_x,Game_Id,Date_x,Days_Since_x,game_Location_x,team_location_x,distance_From_Home_x,game_time_zone_x,team_time_zone_x,game_hour (et)_x,time_zone_diff_x,last_loc_x,distance_From_Last_Game_x,last_time_zone_x,time_zone_change_x,game_number_x,result_x,played_yesterday_x,played_diff_loc_yesterday_x,back_to_back_road_games_x,first_x,3P_y,3PA_y,AST_y,BLK_y,FG_y,FGA_y,FT_y,FTA_y,ORB_y,DRB_y,PF_y,PTS_y,STL_y,TOV_y,TRB_y,Team_Win_y,opp_TRB_y,opp_3P_y,opp_3PA_y,opp_AST_y,opp_BLK_y,opp_FG_y,opp_FGA_y,opp_FT_y,opp_FTA_y,opp_PTS_y,opp_ORB_y,opp_DRB_y,opp_STL_y,opp_PF_y,opp_TOV_y,total_PTS_y,is_Home_y,Team_y,Date_y,Days_Since_y,game_Location_y,team_location_y,distance_From_Home_y,game_time_zone_y,team_time_zone_y,game_hour (et)_y,time_zone_diff_y,last_loc_y,distance_From_Last_Game_y,last_time_zone_y,time_zone_change_y,game_number_y,result_y,played_yesterday_y,played_diff_loc_yesterday_y,back_to_back_road_games_y,first_y
5.0,15.0,22.0,5.0,40.0,85.0,14.0,18.0,9.0,31.0,25.0,99.0,9.0,11.0,40.0,1,46.0,3.0,13.0,24.0,5.0,38.0,77.0,12.0,31.0,91.0,15.0,31.0,6.0,21.0,14.0,190.0,0,Dallas,10/30/2012_LA Lakers_Dallas,2012-10-30,,Los Angeles,Dallas,2312,0,2,21,-2,,,,,1,8.0,False,False,False,0,3.0,13.0,24.0,5.0,38.0,77.0,12.0,31.0,15.0,31.0,21.0,91.0,6.0,14.0,46.0,0,40.0,5.0,15.0,22.0,5.0,40.0,85.0,14.0,18.0,99.0,9.0,31.0,9.0,25.0,11.0,190.0,1,LA Lakers,2012-10-30,,Los Angeles,Los Angeles,0,0,0,21,0,,,,,1,-8.0,False,False,False,1
8.0,18.5,21.0,5.0,36.0,85.0,16.5,22.0,8.5,31.5,28.5,96.5,8.5,13.5,40.0,0,53.5,4.5,13.5,24.0,6.5,38.0,83.0,21.5,36.5,102.0,17.5,36.0,8.0,23.0,14.0,198.5,0,Dallas,10/31/2012_Utah_Dallas,2012-10-31,,Salt Lake City,Dallas,2001,1,2,15,-1,Los Angeles,1108.0,0.0,1.0,2,-19.0,True,True,True,0,6.0,14.0,24.0,8.0,38.0,89.0,31.0,42.0,20.0,41.0,25.0,113.0,10.0,14.0,61.0,1,40.0,11.0,22.0,20.0,5.0,32.0,85.0,19.0,26.0,94.0,8.0,32.0,8.0,32.0,16.0,207.0,1,Utah,2012-10-31,1.0,Salt Lake City,Salt Lake City,0,1,1,18,0,,,,,1,19.0,False,False,False,1
10.6666666667,20.6666666667,24.3333333333,5.66666666667,40.3333333333,83.3333333333,15.0,19.6666666667,8.33333333333,32.6666666667,26.6666666667,106.333333333,7.66666666667,16.3333333333,41.0,1,48.3333333333,4.0,14.6666666667,22.3333333333,5.0,38.3333333333,85.6666666667,20.3333333333,32.3333333333,101.0,16.6666666667,31.6666666667,9.66666666667,20.0,12.6666666667,207.333333333,1,Dallas,11/3/2012_Dallas_Charlotte,2012-11-03,1.0,Dallas,Dallas,0,2,2,15,0,Salt Lake City,2001.0,1.0,1.0,3,27.0,False,False,False,0,5.0,18.0,18.5,5.5,35.0,88.0,19.5,24.0,12.5,27.0,18.0,94.5,11.5,10.0,39.5,0,47.5,11.5,25.5,25.0,6.0,41.0,81.5,14.0,21.0,107.5,11.0,36.5,5.5,19.5,19.5,202.0,0,Charlotte,2012-11-03,3.0,Dallas,Charlotte,1650,2,3,21,-1,Charlotte,1650.0,3.0,-1.0,2,-27.0,True,True,False,1
10.5,20.5,25.5,5.5,42.25,82.0,13.25,18.0,6.75,33.25,23.75,108.25,8.75,14.5,40.0,1,48.25,4.25,16.5,20.0,4.5,37.75,87.5,18.75,28.75,98.5,18.25,30.0,8.5,18.25,12.75,206.75,1,Dallas,11/5/2012_Dallas_Portland,2012-11-05,2.0,Dallas,Dallas,0,2,2,20,0,Dallas,0.0,2.0,0.0,4,23.0,False,False,False,0,8.25,23.0,19.25,4.0,37.25,89.5,15.75,20.5,13.5,30.25,19.0,98.5,7.5,13.0,43.75,0,46.25,7.0,18.25,21.75,5.25,39.25,80.5,17.25,23.75,102.75,10.25,36.0,8.0,20.5,15.75,201.25,0,Portland,2012-11-05,2.0,Dallas,Portland,3282,2,0,20,2,Houston,385.0,2.0,0.0,4,-23.0,False,False,False,1
10.0,20.6,24.6,5.6,41.6,82.4,15.2,21.4,8.6,32.8,23.6,108.4,7.8,13.8,41.4,1,46.2,4.4,17.6,20.2,3.8,37.4,86.2,20.4,29.2,99.6,16.6,29.6,8.2,20.2,11.8,208.0,1,Dallas,11/7/2012_Dallas_Toronto,2012-11-07,1.0,Dallas,Dallas,0,2,2,12,0,Dallas,0.0,2.0,0.0,5,5.0,False,False,False,0,7.0,21.6,19.2,3.8,35.2,85.6,19.6,23.4,11.8,26.8,25.0,97.0,9.4,12.0,38.6,0,43.2,6.8,17.6,21.0,7.6,35.4,76.2,22.4,30.6,100.0,9.8,33.4,6.2,19.4,17.4,197.0,0,Toronto,2012-11-07,2.0,Dallas,Toronto,2338,2,3,22,-1,Oklahoma City,333.0,2.0,0.0,5,-5.0,True,True,True,1
9.66666666667,21.8333333333,23.3333333333,5.16666666667,40.1666666667,82.1666666667,16.0,21.6666666667,8.66666666667,34.1666666667,24.3333333333,106.0,7.16666666667,14.8333333333,42.8333333333,0,45.6666666667,5.0,18.3333333333,19.6666666667,3.83333333333,37.0,85.8333333333,21.3333333333,30.6666666667,100.333333333,15.6666666667,30.0,8.83333333333,20.3333333333,11.3333333333,206.333333333,0,Dallas,11/9/2012_New York_Dallas,2012-11-09,4.0,New York,Dallas,2490,3,2,22,1,Dallas,2490.0,2.0,1.0,6,-10.0,False,False,False,0,12.75,29.25,21.5,3.5,37.25,82.25,17.25,22.5,10.25,31.5,17.5,104.5,10.25,10.5,41.75,1,46.5,7.75,21.75,17.0,3.0,32.25,79.25,15.25,18.0,87.5,11.25,35.25,4.75,20.75,18.0,192.0,1,New York,2012-11-09,2.0,New York,New York,0,3,3,19,0,Philadelphia,155.0,3.0,0.0,4,10.0,False,False,False,1
9.57142857143,21.4285714286,23.0,5.42857142857,39.0,81.7142857143,17.1428571429,22.8571428571,8.57142857143,34.2857142857,24.2857142857,104.714285714,7.42857142857,15.4285714286,42.8571428571,0,46.7142857143,4.71428571429,18.5714285714,19.0,4.14285714286,37.4285714286,87.1428571429,20.8571428571,30.2857142857,100.428571429,16.4285714286,30.2857142857,9.28571428571,20.8571428571,12.1428571429,205.142857143,0,Dallas,11/10/2012_Charlotte_Dallas,2012-11-10,1.0,Charlotte,Dallas,1650,3,2,19,1,New York,1003.0,3.0,0.0,7,-4.0,True,True,True,0,6.0,19.8,19.0,7.6,37.6,88.2,18.6,24.2,15.2,27.2,19.4,99.8,9.2,12.2,42.4,1,45.6,10.4,23.8,25.8,7.4,40.0,83.6,16.8,24.2,107.2,13.0,32.6,6.6,20.4,15.8,207.0,1,Charlotte,2012-11-10,1.0,Charlotte,Charlotte,0,3,3,13,0,New Orleans,1148.0,2.0,1.0,5,4.0,True,True,False,1
8.875,20.75,22.125,5.0,37.75,81.5,17.5,23.125,8.375,33.5,23.75,101.875,7.375,14.5,41.875,0,47.0,4.625,18.125,19.125,4.5,36.5,84.375,21.5,30.5,99.125,15.25,31.75,9.125,21.0,12.75,201.0,1,Dallas,11/12/2012_Dallas_Minnesota,2012-11-12,2.0,Dallas,Dallas,0,2,2,20,0,Charlotte,1650.0,3.0,-1.0,8,-8.0,False,False,False,0,4.42857142857,15.7142857143,21.8571428571,7.0,33.8571428571,76.4285714286,19.4285714286,25.5714285714,11.2857142857,32.0,18.2857142857,91.5714285714,7.71428571429,15.0,43.2857142857,1,38.7142857143,6.28571428571,17.0,18.4285714286,4.71428571429,33.5714285714,82.2857142857,15.0,18.4285714286,88.4285714286,11.2857142857,27.4285714286,7.0,22.4285714286,12.7142857143,180.0,0,Minnesota,2012-11-12,2.0,Dallas,Minneapolis,1514,2,2,20,0,Chicago,1559.0,2.0,0.0,7,8.0,False,False,False,1
8.22222222222,19.6666666667,21.8888888889,4.88888888889,37.8888888889,81.1111111111,18.4444444444,24.2222222222,9.0,32.6666666667,22.7777777778,102.444444444,7.22222222222,14.3333333333,41.6666666667,1,45.5555555556,5.55555555556,19.1111111111,19.6666666667,4.44444444444,36.7777777778,84.0,20.2222222222,28.3333333333,99.3333333333,14.5555555556,31.0,9.0,21.3333333333,13.1111111111,201.777777778,1,Dallas,11/14/2012_Dallas_Washington,2012-11-14,1.0,Dallas,Dallas,0,2,2,13,0,Dallas,0.0,2.0,0.0,9,6.0,False,False,False,0,8.0,25.8571428571,23.1428571429,6.14285714286,34.0,83.5714285714,12.1428571429,16.5714285714,11.0,30.2857142857,21.8571428571,88.1428571429,8.14285714286,15.8571428571,41.2857142857,0,44.1428571429,5.42857142857,15.5714285714,20.8571428571,5.0,35.7142857143,79.7142857143,19.1428571429,25.2857142857,96.0,11.0,33.1428571429,7.57142857143,16.8571428571,14.7142857143,184.142857143,0,Washington,2012-11-14,2.0,Dallas,Washington DC,2138,2,3,13,-1,Charlotte,1650.0,3.0,-1.0,7,-6.0,True,True,True,1
7.6,19.0,21.3,4.9,37.1,81.1,18.7,24.3,8.9,33.0,22.8,100.5,6.8,14.0,41.9,0,45.6,5.6,18.8,20.0,4.5,37.0,83.9,20.1,28.6,99.7,14.1,31.5,9.2,20.7,12.6,200.2,0,Dallas,11/16/2012_Indiana_Dallas,2012-11-16,2.0,Indianapolis,Dallas,1447,3,2,19,1,Dallas,1447.0,2.0,1.0,10,-20.0,False,False,False,0,5.8,19.0,17.6,6.7,33.5,82.6,16.5,22.9,13.7,35.0,16.4,89.3,6.4,15.4,48.7,1,43.5,5.9,17.2,20.6,5.9,34.4,84.5,15.6,19.2,90.3,10.9,32.6,8.6,20.3,11.4,179.6,1,Indiana,2012-11-16,2.0,Indianapolis,Indianapolis,0,3,3,20,0,Milwaukee,449.0,2.0,1.0,10,20.0,False,False,False,1
