3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,opponent,opp_TRB,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,Team,Game_Id
9.0,27.0,17.0,6.0,32.0,87.0,15.0,20.0,13.0,22.0,88.0,6.0,18.0,42.0,0,0,Cleveland,51.0,13.0,35.0,31.0,5.0,45.0,94.0,14.0,19.0,117.0,11.0,12.0,22.0,14.0,New York,10/25/2016_Cleveland_New York
13.0,35.0,31.0,5.0,45.0,94.0,14.0,19.0,11.0,22.0,117.0,12.0,14.0,51.0,1,1,New York,42.0,9.0,27.0,17.0,6.0,32.0,87.0,15.0,20.0,88.0,13.0,6.0,22.0,18.0,Cleveland,10/25/2016_Cleveland_New York
12.0,24.0,25.0,3.0,47.0,98.0,23.0,26.0,21.0,19.0,129.0,13.0,13.0,55.0,0,1,Golden State,35.0,7.0,33.0,24.0,6.0,40.0,85.0,13.0,18.0,100.0,8.0,11.0,19.0,16.0,San Antonio,10/25/2016_Golden State_San Antonio
7.0,33.0,24.0,6.0,40.0,85.0,13.0,18.0,8.0,19.0,100.0,11.0,16.0,35.0,1,0,San Antonio,55.0,12.0,24.0,25.0,3.0,47.0,98.0,23.0,26.0,129.0,21.0,13.0,19.0,13.0,Golden State,10/25/2016_Golden State_San Antonio
8.0,24.0,19.0,5.0,40.0,82.0,16.0,16.0,6.0,19.0,104.0,9.0,11.0,31.0,0,0,Portland,34.0,13.0,19.0,22.0,3.0,39.0,75.0,22.0,22.0,113.0,5.0,5.0,18.0,12.0,Utah,10/25/2016_Portland_Utah
13.0,19.0,22.0,3.0,39.0,75.0,22.0,22.0,5.0,18.0,113.0,5.0,12.0,34.0,1,1,Utah,31.0,8.0,24.0,19.0,5.0,40.0,82.0,16.0,16.0,104.0,6.0,9.0,19.0,11.0,Portland,10/25/2016_Portland_Utah
15.0,44.0,22.0,3.0,43.0,97.0,16.0,20.0,15.0,19.0,117.0,8.0,16.0,44.0,0,0,Boston,47.0,11.0,32.0,36.0,9.0,48.0,89.0,15.0,18.0,122.0,12.0,13.0,20.0,19.0,Brooklyn,10/26/2016_Boston_Brooklyn
11.0,32.0,36.0,9.0,48.0,89.0,15.0,18.0,12.0,20.0,122.0,13.0,19.0,47.0,1,1,Brooklyn,44.0,15.0,44.0,22.0,3.0,43.0,97.0,16.0,20.0,117.0,15.0,8.0,19.0,16.0,Boston,10/26/2016_Boston_Brooklyn
18.0,48.0,26.0,8.0,45.0,104.0,13.0,18.0,10.0,27.0,121.0,8.0,15.0,49.0,0,0,Indiana,52.0,10.0,19.0,30.0,6.0,47.0,93.0,26.0,34.0,130.0,8.0,11.0,23.0,16.0,Dallas,10/26/2016_Indiana_Dallas
10.0,19.0,30.0,6.0,47.0,93.0,26.0,34.0,8.0,23.0,130.0,11.0,16.0,52.0,1,1,Dallas,49.0,18.0,48.0,26.0,8.0,45.0,104.0,13.0,18.0,121.0,10.0,8.0,27.0,15.0,Indiana,10/26/2016_Indiana_Dallas
7.0,29.0,29.0,1.0,44.0,86.0,19.0,27.0,10.0,23.0,114.0,10.0,14.0,39.0,0,0,LA Lakers,39.0,12.0,35.0,21.0,4.0,45.0,89.0,18.0,22.0,120.0,11.0,10.0,24.0,15.0,Houston,10/26/2016_LA Lakers_Houston
12.0,35.0,21.0,4.0,45.0,89.0,18.0,22.0,11.0,24.0,120.0,10.0,15.0,39.0,1,1,Houston,39.0,7.0,29.0,29.0,1.0,44.0,86.0,19.0,27.0,114.0,10.0,10.0,23.0,14.0,LA Lakers,10/26/2016_LA Lakers_Houston
6.0,18.0,20.0,5.0,36.0,86.0,20.0,29.0,15.0,23.0,98.0,6.0,10.0,45.0,0,0,Memphis,45.0,11.0,24.0,19.0,11.0,36.0,80.0,19.0,27.0,102.0,11.0,6.0,25.0,13.0,Minnesota,10/26/2016_Memphis_Minnesota
11.0,24.0,19.0,11.0,36.0,80.0,19.0,27.0,11.0,25.0,102.0,6.0,13.0,45.0,1,1,Minnesota,45.0,6.0,18.0,20.0,5.0,36.0,86.0,20.0,29.0,98.0,15.0,6.0,23.0,10.0,Memphis,10/26/2016_Memphis_Minnesota
7.0,23.0,27.0,10.0,40.0,89.0,20.0,24.0,11.0,22.0,107.0,5.0,10.0,51.0,0,1,Milwaukee,46.0,3.0,16.0,23.0,5.0,39.0,92.0,15.0,20.0,96.0,10.0,4.0,22.0,8.0,Charlotte,10/26/2016_Milwaukee_Charlotte
3.0,16.0,23.0,5.0,39.0,92.0,15.0,20.0,10.0,22.0,96.0,4.0,8.0,46.0,1,0,Charlotte,51.0,7.0,23.0,27.0,10.0,40.0,89.0,20.0,24.0,107.0,11.0,5.0,22.0,10.0,Milwaukee,10/26/2016_Milwaukee_Charlotte
8.0,24.0,18.0,4.0,37.0,83.0,25.0,33.0,11.0,22.0,107.0,7.0,24.0,58.0,0,1,New Orleans,33.0,3.0,19.0,31.0,5.0,38.0,92.0,23.0,26.0,102.0,5.0,16.0,29.0,11.0,Denver,10/26/2016_New Orleans_Denver
